default_code,name,type,subtype,procure_method,supply_method,categ_id,international_status,active,batch_management,perishable,uom_id,nomen_manda_0,nomen_manda_1,nomen_manda_2,nomen_manda_3
"ASTAPAPE2WA","PAPER, listing, 12' x 240 mm, self-copying, 2000 sheets/ream","Stockable Product","Single Item","Make to Stock","Buy","STATIONERY","Approved (ITC)","True","False","False","PCE","LOG","Administration","STATIONERY","Paper"
"ASTAPAPE4MH","PAPER, A4, white, MSF Holland heading, 80 g","Stockable Product","Single Item","Make to Order","Buy","STATIONERY","Approved (ITC)","True","False","False","PCE","LOG","Administration","STATIONERY","Paper"
"ASTAPENM3BL","MARKER, permanent, large, chisel point, blue","Stockable Product","Single Item","Make to Stock","Buy","STATIONERY","Approved (ITC)","True","False","False","PCE","LOG","Administration","STATIONERY","Pen Marker"
"CBUIBLOC415","BLOCK, CEMENT, hollow, 40 x 20 x 15 cm","Stockable Product","Single Item","Make to Order","Buy","Building","Approved (ITC)","True","False","False","PCE","LOG","Camp","Building","Block"
"ADAPCABL1S-","(computer) CABLE, SERIAL interface for two PC (fem/fem)","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cable, dataprocessing"
"ADAPCABL2S-","(computer) CABLE, SERIAL interface PC/Mini-M, female/male","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cable, dataprocessing"
"ADAPCART02-","(printer Laserwriter ) CARTRIDGE INKING","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cartridge"
"ADAPCART150","(printer Diconix 150/180 Kodak) CARTRIDGE INKING HP516604A","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cartridge"
"ADAPCARTIBL","(printer, inkjet) INK CARTRIDGE, black (model to specify)","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cartridge"
"ADAPCDWEIO-","CD WRITER, external, USB (Iomega)","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Cartridge"
"ADAPCOLA---","COMPUTER, laptop, entry level","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Computer, Laptop"
"ADAPCOLABAG","(laptop computer) CARRYING BAG","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Computer, Laptop"
"ADAPCOLALOK","(laptop computer) LOCK, with key, Kensington slot","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Computer, Laptop"
"ADAPCOLALON","(laptop computer) LOCK, with numbers, Kensington slot","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Computer, Laptop"
"ADAPCOLAPOW","(laptop computer) AC POWER ADAPTOR (model to specify)","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Computer, Laptop"
"ADAPKBDA2PS","KEYBOARD, AZERTY, external, PS/2","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Keyboard AZERTY"
"ADAPKBDAUSB","KEYBOARD, AZERTY, external, USB","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Keyboard AZERTY"
"ADAPMODE56-","MODEM, external (U.S.Robotics 56K), CCITT standard","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Modem"
"ADAPMOUSOPS","MOUSE, optical, PS2 port","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Modem"
"ADAPPRIN200","PRINTER, Canon BJ200 , inkjet, sheetfeeder","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRIN250","PRINTER, Canon BJC-250, inkjet, sheetfeeder","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRIN25T","(printer BJC250)TRANSF./ADAPTOR 230/13.5V., K30081","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRIN93T","(printer HP930C) TRANSF./ADAPTOR 230V","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRINL--","PRINTER, laser, A4, monochrome","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRINPOW","(printer) AC POWER ADAPTOR (model to specify)","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRINSB2","(printer) SWITCH BOX passive, 2 outlets to 1 printer","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPPRINSB4","(printer) SWITCH BOX passive, 4 outlets to 1 printer","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Printer"
"ADAPSCRE17C","SCREEN, external, 17', CRT","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Screen - Monitor"
"ADAPSWIT02-","(printer) SWITCH BOX passive + cables 2 PC to 1 printer","Stockable Product","Single Item","Make to Order","Buy","Data processing","Approved (ITC)","True","False","False","PCE","LOG","Administration","Data processing","Switch"
