level,name,type,parent_id
3,"Bolt, Carpentery",Mandatory,HARDWARE
3,"Bolt, Threaded",Mandatory,HARDWARE
3,Nail,Mandatory,HARDWARE
3,"Nuts, Galvanised",Mandatory,HARDWARE
3,"Screw, Wood",Mandatory,HARDWARE
3,Washer,Mandatory,HARDWARE
3,BASIN - BOWL,Mandatory,Hygiene
3,DRY MACHINE,Mandatory,Hygiene
3,Oil-cloth,Mandatory,Hygiene
3,RUBBER BOOTS,Mandatory,Hygiene
3,RUBBISH BAG,Mandatory,Hygiene
3,"BULB, COMPACT FLUORESCENTE, white",Mandatory,Lighting
3,FLUO TUBE MINI (NEON),Mandatory,Lighting
3,Holder,Mandatory,Lighting
3,Lamp,Mandatory,Lighting
3,"Lamp, Fluorescent",Mandatory,Lighting
3,"Box, Isothermal",Mandatory,Packing and handling
3,"Box, Wooden",Mandatory,Packing and handling
3,Card,Mandatory,Packing and handling
3,Seal,Mandatory,Packing and handling
3,UN Packing for class 6.2,Mandatory,Packing and handling
3,FALL ARRESTER,Mandatory,Safety and protective equipment
3,FALL STOP,Mandatory,Safety and protective equipment
3,FIRE BLANKET,Mandatory,Safety and protective equipment
3,GLOVES,Mandatory,Safety and protective equipment
3,"GOGGLES, PROTECTIVE,",Mandatory,Safety and protective equipment
3,HARD HAT,Mandatory,Safety and protective equipment
3,HI VISIBILITY JACKET,Mandatory,Safety and protective equipment
3,"Mask, respiratory protection",Mandatory,Safety and protective equipment
3,OVERALL,Mandatory,Safety and protective equipment
3,Filter,Mandatory,SPARE PARTS LISTER
3,Filter,Mandatory,SPARE PARTS LOMBARDINI
3,Gasket,Mandatory,SPARE PARTS LOMBARDINI
3,Filter,Mandatory,SPARE PARTS ROBIN
3,Clamp,Mandatory,Tools
3,Compressor,Mandatory,Tools
3,EXTRACTOR - PULLER,Mandatory,Tools
3,Grinder,Mandatory,Tools
3,HAMMER,Mandatory,Tools
3,Machette,Mandatory,Tools
3,Mallet,Mandatory,Tools
3,MEASURING RULE,Mandatory,Tools
3,MECHANICAL COUPLER,Mandatory,Tools
3,METROLOGY TOOLS,Mandatory,Tools
3,OIL FILTER SPANNER,Mandatory,Tools
3,PLIERS,Mandatory,Tools
3,Pump,Mandatory,Tools
3,Scraper,Mandatory,Tools
3,SCREWDRIVERS,Mandatory,Tools
3,SOCKET,Mandatory,Tools
3,Soldering,Mandatory,Tools
3,SPANNER,Mandatory,Tools
3,TOOL BOX OR BAG,Mandatory,Tools
3,WRENCH,Mandatory,Tools
2,Boats,Mandatory,Transport
2,LAND ROVER,Mandatory,Transport
2,PEUGEOT,Mandatory,Transport
2,SPARE PARTS TOYOTA,Mandatory,Transport
2,Spare parts Yamaha,Mandatory,Transport
2,Toyota vehicles,Mandatory,Transport
2,Vehicles accessories,Mandatory,Transport
2,Vehicles consumables,Mandatory,Transport
2,VEHICLES MODIFICATIONS,Mandatory,Transport
3,ALUMINIUM boat,Mandatory,Boats
3,"DIESEL ENGINE, boat",Mandatory,Boats
3,Engine,Mandatory,Boats
3,Zodiac,Mandatory,Boats
3,110 Diesel,Mandatory,LAND ROVER
3,405 Diesel,Mandatory,PEUGEOT
3,504 Diesel,Mandatory,PEUGEOT
3,Partner M59 Diesel,Mandatory,PEUGEOT
3,"Absorber, Shock",Mandatory,SPARE PARTS TOYOTA
3,Injection Pump,Mandatory,SPARE PARTS TOYOTA
3,Leaf spring,Mandatory,SPARE PARTS TOYOTA
3,PETROL PUMP,Mandatory,Spare parts Yamaha
3,PROPELLER,Mandatory,Spare parts Yamaha
3,SPRING,Mandatory,Spare parts Yamaha
3,STARTER,Mandatory,Spare parts Yamaha
3,WATER PUMP TURBINE,Mandatory,Spare parts Yamaha
3,Corolla Petrol,Mandatory,Toyota vehicles
3,"Dyna, Diesel",Mandatory,Toyota vehicles
3,Hilux Diesel,Mandatory,Toyota vehicles
3,Hzj75 Diesel,Mandatory,Toyota vehicles
3,HZJ78 Diesel,Mandatory,Toyota vehicles
3,Pzj75 Diesel,Mandatory,Toyota vehicles
3,Belt,Mandatory,Vehicles accessories
3,"Cable, battery",Mandatory,Vehicles accessories
3,Chain,Mandatory,Vehicles accessories
3,Clamp,Mandatory,Vehicles accessories
3,Funnel,Mandatory,Vehicles accessories
3,Gasket,Mandatory,Vehicles accessories
3,"Pump, air",Mandatory,Vehicles accessories
3,SOFT TOOL BAG,Mandatory,Vehicles accessories
3,Additive,Mandatory,Vehicles consumables
3,Fork fuses for toyota,Mandatory,Vehicles consumables
3,Grease,Mandatory,Vehicles consumables
3,"Oil, Engine",Mandatory,Vehicles consumables
3,tyraeall terrain,Mandatory,Vehicles consumables
3,Tyre,Mandatory,Vehicles consumables
3,"Tyre, heavy duty profile",Mandatory,Vehicles consumables
3,"Tyre, mud profile",Mandatory,Vehicles consumables
3,"Tyre, sand profile",Mandatory,Vehicles consumables
3,Fixation set,Mandatory,VEHICLES MODIFICATIONS
3,Hardware,Mandatory,VEHICLES MODIFICATIONS
3,Reinforcement,Mandatory,VEHICLES MODIFICATIONS
3,Support,Mandatory,VEHICLES MODIFICATIONS
1,Drugs,Mandatory,MED
1,Kit,Mandatory,MED
1,Medical Equipment,Mandatory,MED
1,Medical renewable supplies,Mandatory,MED
2,Diagnostic tests,Mandatory,Drugs
2,Drugs external use,Mandatory,Drugs
2,Infusions,Mandatory,Drugs
2,Injectable drugs,Mandatory,Drugs
2,Ophtalmic drugs for external use,Mandatory,Drugs
2,Oral drugs,Mandatory,Drugs
2,Vaccines,Mandatory,Drugs
3,Blood Group Test,Mandatory,Diagnostic tests
3,Brucellosis test,Mandatory,Diagnostic tests
3,Direct agglutination test,Mandatory,Diagnostic tests
3,Dosage kit for spectrophotometer,Mandatory,Diagnostic tests
3,Hiv Test,Mandatory,Diagnostic tests
3,"HIV test, Genie II",Mandatory,Diagnostic tests
3,Meningitis Test,Mandatory,Diagnostic tests
3,Trypano Test,Mandatory,Diagnostic tests
3,"Trypanosomiasis, Chagas",Mandatory,Diagnostic tests
3,Chlorhexidine,Mandatory,Drugs external use
3,Dinoprostone,Mandatory,Drugs external use
3,Iodine Povidone,Mandatory,Drugs external use
3,Malathion,Mandatory,Drugs external use
3,Permethrin,Mandatory,Drugs external use
3,Sodium Bicarbonate,Mandatory,Drugs external use
3,Talc,Mandatory,Drugs external use
3,Dextrose,Mandatory,Infusions
3,Ringer Lactate,Mandatory,Infusions
3,Sodium Chloride,Mandatory,Infusions
3,Amikacin,Mandatory,Injectable drugs
3,Amphotericin B,Mandatory,Injectable drugs
3,Cefazolin,Mandatory,Injectable drugs
3,Chloramphenicol,Mandatory,Injectable drugs
3,Chlorpromazine,Mandatory,Injectable drugs
3,Eflornithine,Mandatory,Injectable drugs
3,Ephedrine,Mandatory,Injectable drugs
3,Erythromycin,Mandatory,Injectable drugs
3,Ganciclovir,Mandatory,Injectable drugs
3,Haloperidol,Mandatory,Injectable drugs
3,Medroxyprogesteron ac + estradiol,Mandatory,Injectable drugs
3,Meglumine Antimoniate,Mandatory,Injectable drugs
3,Melarsoprol,Mandatory,Injectable drugs
3,Nadroparine,Mandatory,Injectable drugs
3,Penicilline Benzathine,Mandatory,Injectable drugs
3,Pentamidine,Mandatory,Injectable drugs
3,Phenobarbital,Mandatory,Injectable drugs
3,Phytomenadione,Mandatory,Injectable drugs
3,Protamine,Mandatory,Injectable drugs
3,Chloramphenicol,Mandatory,Ophtalmic drugs for external use
3,Dexamethasone + neomycine,Mandatory,Ophtalmic drugs for external use
3,Fluoresceine,Mandatory,Ophtalmic drugs for external use
3,Oxybuprocaine,Mandatory,Ophtalmic drugs for external use
3,Pilocarpine,Mandatory,Ophtalmic drugs for external use
3,Trocapinamide Mydriaticum,Mandatory,Ophtalmic drugs for external use
3,Aluminium Hydroxide,Mandatory,Oral drugs
3,Artemeter + Lumefantrine Blister FD,Mandatory,Oral drugs
3,Artesunate + sulfadoxine - pyrimetham,Mandatory,Oral drugs
3,Ascorbic Acid,Mandatory,Oral drugs
3,"Atovaquone + Proguanil, blister",Mandatory,Oral drugs
3,Azithromycine,Mandatory,Oral drugs
3,Beclomethasone,Mandatory,Oral drugs
3,Benznidazole,Mandatory,Oral drugs
3,Biperiden,Mandatory,Oral drugs
3,Cefixime,Mandatory,Oral drugs
3,Clofazimine,Mandatory,Oral drugs
3,Clomipramide,Mandatory,Oral drugs
3,Cloxacilline,Mandatory,Oral drugs
3,Didanosine,Mandatory,Oral drugs
3,Diethylcarbamazine,Mandatory,Oral drugs
3,Digoxine,Mandatory,Oral drugs
3,Efavirenz,Mandatory,Oral drugs
3,Fluconazole,Mandatory,Oral drugs
3,Isoniazid,Mandatory,Oral drugs
3,Ivermectine,Mandatory,Oral drugs
3,Lamivudine (3TC) + Stavudine (d4T),Mandatory,Oral drugs
3,Lamivudine + Stavudine + Nevirapine,Mandatory,Oral drugs
3,Levothyroxine,Mandatory,Oral drugs
3,Morphine,Mandatory,Oral drugs
3,Ondasetron,Mandatory,Oral drugs
3,"Dipthery, tetanus, pertussis, hep B",Mandatory,Vaccines
3,Immunoglobulins human antirabies,Mandatory,Vaccines
3,Vaccine Bcg,Mandatory,Vaccines
3,Vaccine Haemophilus influenzae,Mandatory,Vaccines
3,Vaccine Measles,Mandatory,Vaccines
3,Vaccine Meningitis A+C,Mandatory,Vaccines
3,Vaccine Tetanus,Mandatory,Vaccines
3,"Vaccine, DPT+hepatitis B+Hib",Mandatory,Vaccines
2,Medical kits,Mandatory,Kit
3,Anaesthesia Module,Mandatory,Medical kits
3,Basic Module,Mandatory,Medical kits
3,Cholera Kit,Mandatory,Medical kits
3,Cholera Module,Mandatory,Medical kits
3,Disaster Module,Mandatory,Medical kits
3,Ebola module,Mandatory,Medical kits
3,First Aid Drugs Module,Mandatory,Medical kits
3,Laboratory Module,Mandatory,Medical kits
3,Medical-Surgical Module,Mandatory,Medical kits
3,Module Complementary,Mandatory,Medical kits
3,Module Immunization,Mandatory,Medical kits
3,"Module, autoclave",Mandatory,Medical kits
3,Nutrition Module,Mandatory,Medical kits
3,Surgical Module,Mandatory,Medical kits
2,Anaesthesia,Mandatory,Medical Equipment
2,Dental surgical instruments,Mandatory,Medical Equipment
2,Hospital equipment,Mandatory,Medical Equipment
2,Laboratory equipment,Mandatory,Medical Equipment
2,Linen and protective clothing,Mandatory,Medical Equipment
2,Medical equipment,Mandatory,Medical Equipment
2,Ophtalmic surgical instruments,Mandatory,Medical Equipment
2,Sterilization,Mandatory,Medical Equipment
2,Surgical instruments,Mandatory,Medical Equipment
2,Surgical instruments for external fixator,Mandatory,Medical Equipment
3,anaesthesia machine,Mandatory,Anaesthesia
3,Anaesthesia Mask,Mandatory,Anaesthesia
3,"Balloon, Anaesthesia",Mandatory,Anaesthesia
3,"Laryngoscope, Blade",Mandatory,Anaesthesia
3,"Mask, laryngeal",Mandatory,Anaesthesia
3,Oxymeter,Mandatory,Anaesthesia
3,Tourniquet,Mandatory,Anaesthesia
3,Tube,Mandatory,Anaesthesia
3,Curette of Gracey,Mandatory,Dental surgical instruments
3,Curette of Hemingway,Mandatory,Dental surgical instruments
3,Elevator,Mandatory,Dental surgical instruments
3,Forceps Dental,Mandatory,Dental surgical instruments
3,Concentrator,Mandatory,Hospital equipment
3,Defibrillator,Mandatory,Hospital equipment
3,"Dermatome, electric",Mandatory,Hospital equipment
3,Electro Surgical Unit,Mandatory,Hospital equipment
3,Nebulizer + compressor,Mandatory,Hospital equipment
3,Operating Lamp,Mandatory,Hospital equipment
3,"Saw, oscillating",Mandatory,Hospital equipment
3,Succion Pump,Mandatory,Hospital equipment
3,Vaccuum Extractor,Mandatory,Hospital equipment
3,"BLOOD SAMPLING DEVICE, VACUUM",Mandatory,Laboratory equipment
3,Centrifuge,Mandatory,Laboratory equipment
3,Container,Mandatory,Laboratory equipment
3,Container protection,Mandatory,Laboratory equipment
3,Cyflow counter,Mandatory,Laboratory equipment
3,Fluoreslens,Mandatory,Laboratory equipment
3,Measuring Cylinder,Mandatory,Laboratory equipment
3,Microscope,Mandatory,Laboratory equipment
3,"Pipette, automatic, adjustable",Mandatory,Laboratory equipment
3,Rotator,Mandatory,Laboratory equipment
3,"CAP, DRESSING, SURGICAL, woven",Mandatory,Linen and protective clothing
3,"Cap, Hood",Mandatory,Linen and protective clothing
3,"Mask, protection, resp.",Mandatory,Linen and protective clothing
3,Surgical drape single use,Mandatory,Linen and protective clothing
3,White Coat,Mandatory,Linen and protective clothing
3,Breast pump,Mandatory,Medical equipment
3,"Collar, cervical",Mandatory,Medical equipment
3,Glasses,Mandatory,Medical equipment
3,Spacer,Mandatory,Medical equipment
3,Forceps Of Halstead,Mandatory,Ophtalmic surgical instruments
3,Iris Forceps Of Hess,Mandatory,Ophtalmic surgical instruments
3,Tenotomy Scissors,Mandatory,Ophtalmic surgical instruments
3,Autoclave,Mandatory,Sterilization
3,Sterilization paper,Mandatory,Sterilization
3,"Basket, instruments f sterilization",Mandatory,Surgical instruments
3,Bow of Boehler,Mandatory,Surgical instruments
3,Bow Of Kirschner,Mandatory,Surgical instruments
3,"Clamp, Cardiovascular, DeBakey",Mandatory,Surgical instruments
3,"Curette, Volkman",Mandatory,Surgical instruments
3,"Dilator, Uterine, Hegar",Mandatory,Surgical instruments
3,Filter for sterilizing container,Mandatory,Surgical instruments
3,Gasket for sterilizing container,Mandatory,Surgical instruments
3,Ventouse,Mandatory,Surgical instruments
3,PIN,Mandatory,Surgical instruments for external fixator
3,"TUBE, carbon",Mandatory,Surgical instruments for external fixator
2,"Catheters, tubes and drains",Mandatory,Medical renewable supplies
2,Dressings,Mandatory,Medical renewable supplies
2,Injection supplies,Mandatory,Medical renewable supplies
2,Laboratory reagents,Mandatory,Medical renewable supplies
2,Medical stationery,Mandatory,Medical renewable supplies
2,Small medical supplies,Mandatory,Medical renewable supplies
2,Specialized food,Mandatory,Medical renewable supplies
3,Alene Needle For Redon Set,Mandatory,"Catheters, tubes and drains"
3,Breathing circuit filter,Mandatory,"Catheters, tubes and drains"
3,Brush fr endotracheal tubes,Mandatory,"Catheters, tubes and drains"
3,"Cannula, nasal",Mandatory,"Catheters, tubes and drains"
3,"CATHETER URINARY, Nelaton type",Mandatory,"Catheters, tubes and drains"
3,Connectors for drain,Mandatory,"Catheters, tubes and drains"
3,Drain For Redon,Mandatory,"Catheters, tubes and drains"
3,"Endotracheal Tube, Disp.",Mandatory,"Catheters, tubes and drains"
3,"Gastric tube, Salem type",Mandatory,"Catheters, tubes and drains"
3,Manual vacuum asp cannula,Mandatory,"Catheters, tubes and drains"
3,Peritofix,Mandatory,"Catheters, tubes and drains"
3,Redon System,Mandatory,"Catheters, tubes and drains"
3,Redon system plastic,Mandatory,"Catheters, tubes and drains"
3,Tube Tracheotomy,Mandatory,"Catheters, tubes and drains"
3,"Tube, Gastric",Mandatory,"Catheters, tubes and drains"
3,"Tube, silicone",Mandatory,"Catheters, tubes and drains"
3,"Bandage, Elastic",Mandatory,Dressings
3,"Casting tape, synthetic",Mandatory,Dressings
3,Blood Taking Bag,Mandatory,Injection supplies
3,Catheter with injection port,Mandatory,Injection supplies
3,Container,Mandatory,Injection supplies
3,I.V. Placement Unit,Mandatory,Injection supplies
3,Intra-osseaous needle,Mandatory,Injection supplies
3,Buffer Ph=7,Mandatory,Laboratory reagents
3,Dynabeads,Mandatory,Laboratory reagents
3,Giemsa,Mandatory,Laboratory reagents
3,"Ral 555, Eosine",Mandatory,Laboratory reagents
3,"Ral 555, Kit",Mandatory,Laboratory reagents
3,"Ral 555, Methylene Blue",Mandatory,Laboratory reagents
3,Ral Fixator,Mandatory,Laboratory reagents
3,Turck solution,Mandatory,Laboratory reagents
3,Card,Mandatory,Medical stationery
3,"Card, nutrition",Mandatory,Medical stationery
3,"Card, obstetrics",Mandatory,Medical stationery
3,Guide,Mandatory,Medical stationery
3,Medical certificate,Mandatory,Medical stationery
3,"Bag, Body",Mandatory,Small medical supplies
3,"Bag, Plastic",Mandatory,Small medical supplies
3,Gloves examination nitrile,Mandatory,Small medical supplies
3,"GLOVES, GYN - UTERINE, latex, disp.,",Mandatory,Small medical supplies
3,Protective Gloves,Mandatory,Small medical supplies
3,Biscuits,Mandatory,Specialized food
3,Corned Beef,Mandatory,Specialized food
3,"Milk, infant",Mandatory,Specialized food
3,Ready to use supplementary food,Mandatory,Specialized food
3,Ready to use therapeutic food,Mandatory,Specialized food
1,KIT,Mandatory,MIX
2,Emergency Kits,Mandatory,KIT
2,Exploration Kits,Mandatory,KIT
3,#,Mandatory,Emergency Kits
3,#,Mandatory,Exploration Kits
1,Services,Mandatory,SERVICE
2,Administrative,Mandatory,Services
2,Taxe,Mandatory,Services
3,#,Mandatory,Administrative
3,#,Mandatory,Taxe
