id,type,property_account_expense_categ,property_account_income_categ,name,donation_expense_account,family_id,msfid,asset_bs_account_id,asset_bs_depreciation_account_id,asset_pl_account_id
categ_62,Normal,61220,61220,DOC - STD - AIDS,,L007 - Std - Aids,LIB-L-L007,,,
categ_63,Normal,61220,61220,DOC - SURGERY-ANAESTHESIA-DENTISTRY-PHYSIOTHERAPY-TRANSF,,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,LIB-L-L008,,,
categ_64,Normal,61220,61220,DOC - GYNAECOLOGY - OBSTETRICS,,L009 - Gynaecology - Obstetrics,LIB-L-L009,,,
categ_65,Normal,61220,61220,DOC - PAEDIATRICS,,L010 - Paediatrics,LIB-L-L010,,,
categ_66,Normal,61220,61220,DOC - OPHTHALMOLOGY - DERMATOLOGY,,L011 - Ophthalmology - Dermatology,LIB-L-L011,,,
categ_67,Normal,61220,61220,DOC - RADIOLOGY - MEDICAL IMAGING,,L012 - Radiology - Medical Imaging,LIB-L-L012,,,
categ_68,Normal,61220,61220,DOC - LABORATORY,,L013 - Laboratory,LIB-L-L013,,,
categ_69,Normal,61220,61220,DOC - PHARMACOLOGY,,L014 - Pharmacology,LIB-L-L014,,,
categ_70,Normal,61220,61220,DOC - IMMUNIZATION - COLD CHAIN,,L015 - Immunization - Cold Chain,LIB-L-L015,,,
categ_71,Normal,61220,61220,DOC - NUTRITION,,L016 - Nutrition,LIB-L-L016,,,
categ_72,Normal,61220,61220,DOC - REPRODUCTIVE HEALTH,,L017 - REPRODUCTIVE HEALTH,LIB-L-L017,,,
categ_73,Normal,61220,61220,DOC - WATER & SANITATION,,L018 - Water & Sanitation,LIB-L-L018,,,
categ_74,Normal,61220,61220,DOC - REFUGEES - DISPLACED,,L019 - Refugees - Displaced,LIB-L-L019,,,
categ_75,Normal,61220,61220,DOC - EMERGENCIES - DISASTERS - CONFLICTS,,L020 - Emergencies - Disasters - Conflicts,LIB-L-L020,,,
categ_76,Normal,61220,61220,DOC - TRAINING - EDUCATION,,L021 - Training - Education,LIB-L-L021,,,
categ_77,Normal,61220,61220,DOC - COMMUNITY HEALTH,,L022 - Community Health,LIB-L-L022,,,
categ_78,Normal,61220,61220,DOC - ANTHROPOLOGY,,L023 - Anthropology,LIB-L-L023,,,
categ_79,Normal,61220,61220,DOC - EPIDEMIOLOGY - STATISTICS,,L024 - Epidemiology - Statistics,LIB-L-L024,,,
categ_80,Normal,61220,61220,DOC - HEALTH SERVICES MANAGEMENT,,L025 - Health Services Management,LIB-L-L025,,,
categ_81,Normal,61220,61220,DOC - DRUGS MANAGEMENT,,L026 - Drugs Management,LIB-L-L026,,,
categ_82,Normal,61220,61220,DOC - MENTAL HEALTH,,L027 - Mental Health,LIB-L-L027,,,
categ_83,Normal,61220,61220,DOC - HEALTH OF EXPATRIATES,,L028 - Health Of Expatriates,LIB-L-L028,,,
categ_84,Normal,61220,61220,DOC - NURSING - INFECTION CONTROL,,L029 - Nursing - Infection Control,LIB-L-L029,,,
categ_85,Normal,61220,61220,DOC - INFECTION CONTROL,,L030 - INFECTION CONTROL,LIB-L-L030,,,
categ_86,Normal,61220,61220,DOC - SOCIAL ISSUES,,L031 - SOCIAL ISSUES,LIB-L-L031,,,
categ_87,Normal,61220,61220,DOC - LOGISTICS,,L040 - Logistics,LIB-L-L040,,,
categ_88,Normal,61220,61220,DOC - MECHANICS /TRANSPORT,,L041 - Mechanics /Transport,LIB-L-L041,,,
categ_89,Normal,61220,61220,DOC - TELECOMMUNICATION,,L042 - Telecommunication,LIB-L-L042,,,
categ_90,Normal,61220,61220,DOC - BUILDING - SHELTERS,,L043 - Building - Shelters,LIB-L-L043,,,
categ_91,Normal,61220,61220,DOC - DATA PROCESSING,91100,L044 - Data Processing,LIB-L-L044,,,
categ_92,Normal,61220,61220,DOC - CATALOGUES & ORDER LISTS,,L045 - Catalogues & Order Lists,LIB-L-L045,,,
categ_93,Normal,61220,61220,DOC - FOOD AID,,L046 - Food Aid,LIB-L-L046,,,
categ_94,Normal,61220,61220,DOC - SUPPLY,,L047 - Supply,LIB-L-L047,,,
categ_95,Normal,61220,61220,DOC - ENERGY,,L048 - Energy,LIB-L-L048,,,
categ_96,Normal,61220,61220,DOC - ADMINISTRATION - FINANCES,,L050 - Administration - Finances,LIB-L-L050,,,
categ_97,Normal,61220,61220,DOC - HUMAN RESOURCES MANAGEMENT,,L051 - Human Resources Management,LIB-L-L051,,,
categ_98,Normal,61220,61220,DOC - SECURITY,,L052 - Security,LIB-L-L052,,,
categ_99,Normal,61220,61220,DOC - MSF - GENERAL FACTS,,L060 - MSF - GENERAL FACTS,LIB-L-L060,,,
categ_100,Normal,61220,61220,DOC - MSF - PUBLICATIONS,,L061 - Msf - Publications,LIB-L-L061,,,
categ_101,Normal,61220,61220,DOC - MSF - INTERNAL DOCUMENTS,,L062 - MSF - INTERNAL DOCUMENTS,LIB-L-L062,,,
categ_102,Normal,61220,61220,DOC - HUMANITARIAN ASSISTANCE,,L070 - Humanitarian Assistance,LIB-L-L070,,,
categ_103,Normal,61220,61220,DOC - CONTEXTS - GEOPOLITICS,,L071 - CONTEXTS - GEOPOLITICS,LIB-L-L071,,,
categ_104,Normal,61220,61220,DOC - HUMANITARIAN ASSISTANCE - LAW,,L072 - Humanitarian Assistance - Law,LIB-L-L072,,,
categ_105,Normal,61220,61220,DOC - HUMANITARIAN ASSISTANCE - INTERVENTIONS,,L073 - Humanitarian Assistance - Interventions,LIB-L-L073,,,
categ_106,Normal,61220,61220,DOC - NTERNATIONAL ORGANISATIONS,,L074 - NTERNATIONAL ORGANISATIONS,LIB-L-L074,,,
categ_107,Normal,61220,61220,DOC - NGO's,,L075 - NGO's,LIB-L-L075,,,
categ_108,Normal,61220,61220,DOC - STATES: HUM. ASSISTANCE,,L076 - STATES: HUM. ASSISTANCE,LIB-L-L076,,,
categ_109,Normal,61220,61220,DOC - LANGUAGES,,L077 - Languages,LIB-L-L077,,,
categ_110,Normal,61220,61220,DOC - LEAFLETS,,LEAF - Leaflets,LIB-L-LEAF,,,
categ_111,Normal,61020,61020,FOOD COMMODITIES,,NFOO - Food Commodities,MED-N-NFOO,20200,21100,68010
categ_112,Normal,60030,60030,SPECIALIZED FOOD,91000,NFOS - Specialized Food,MED-N-NFOS,20200,21100,68010
categ_113,Normal,61020,61020,FOOD COMMODITIES STATIONARY,91000,NFST - Food commodities stationary,MED-N-NFST,20200,21100,68010
categ_114,Normal,60030,60030,SPECIALIAZED FOOD STATIONARY,91000,NSST - Specialized food stationary,MED-N-NSST,20200,21100,68010
categ_115,Normal,60120,60120,COLD CHAIN,91000,PCOL - Cold Chain,LOG-P-PCOL,20300,21200,68020
categ_116,Normal,61160,61160,COMMUNICATION,91100,PCOM - Communication,LOG-P-PCOM,20300,21200,68020
categ_117,Normal,61030,61030,COOKING,91100,PCOO - Cooking,LOG-P-PCOO,20300,21200,68020
categ_118,Normal,61120,61120,ELECTRICITY,91100,PELE - Electricity,LOG-P-PELE,20300,21200,68020
categ_119,Normal,61220,61220,HARDWARE,91100,PHDW - Hardware,LOG-P-PHDW,20300,21200,68020
categ_120,Normal,61030,61030,HYGIENE,91100,PHYG - Hygiene,LOG-P-PHYG,20300,21200,68020
categ_121,Normal,61030,61030,IDENTIFICATION,,PIDE - Identification,LOG-P-PIDE,20300,21200,68020
categ_122,Normal,61220,61220,LIGHTING,91100,PLIG - Lighting,LOG-P-PLIG,20300,21200,68020
categ_123,Normal,61220,61220,PACKING AND HANDLING,91100,PPAC - Packing And Handling,LOG-P-PPAC,20300,21200,68020
categ_124,Normal,61000,61000,PAINT,91100,PPAI - Paint,LOG-P-PPAI,20300,21200,68020
categ_125,Normal,61220,61220,SAFETY AND PROTECTIVE EQUIPMENT,91100,PSAF - Safety And Protective Equipment,LOG-P-PSAF,20300,21200,68020
categ_126,Normal,61100,61100,TOOLS,91100,PTOO - Tools,LOG-P-PTOO,20300,21200,68020
categ_127,Normal,61120,61120,SPARE PARTS,91100,PX-- - Spare parts,LOG-P-PX--,20300,21200,68020
categ_128,Normal,61110,61110,SPARE PARTS DAVEY,91100,PXDV - Spare Parts Davey,LOG-P-PXDV,20300,21200,68020
categ_129,Normal,61120,61120,SPARE PARTS HONDA,91100,PXHO - Spare Parts Honda,LOG-P-PXHO,20300,21200,68020
categ_130,Normal,61110,61110,SPARE PARTS KOSHIN,91100,PXKO - Spare Parts Koshin,LOG-P-PXKO,20300,21200,68020
categ_131,Normal,61120,61120,SPARE PARTS LISTER,91100,PXLI - Spare Parts Lister,LOG-P-PXLI,20300,21200,68020
categ_132,Normal,61120,61120,SPARE PARTS LOMBARDINI,91100,PXLO - Spare Parts Lombardini,LOG-P-PXLO,20300,21200,68020
categ_133,Normal,61120,61120,SPARE PARTS ROBIN,91100,PXRO - Spare Parts Robin,LOG-P-PXRO,20300,21200,68020
categ_134,Normal,61120,61120,SPARE PARTS YANMAR,91100,PXYN - Spare Parts Yanmar,LOG-P-PXYN,20300,21200,68020
categ_135,Normal,60210,60210,"CATHETERS, TUBES AND DRAINS",91000,"SCTD - Catheters, Tubes And Drains",MED-S-SCTD,20200,21100,68010
categ_136,Normal,60210,60210,DIAGNOSTIC IMAGING SUPPLIES,91000,SDIM - Diagnostic imaging supplies,MED-S-SDIM,20200,21100,68010
categ_137,Normal,60210,60210,DRESSINGS,91000,SDRE - Dressings,MED-S-SDRE,20200,21100,68010
categ_138,Normal,60210,60210,NAIL OF SIGN MATERIAL,,SIGN - NAIL OF SIGN material,MED-S-SIGN,20200,21100,68010
categ_139,Normal,60210,60210,INJECTION SUPPLIES,91000,SINS - Injection Supplies,MED-S-SINS,20200,21100,68010
categ_140,Normal,60200,60200,LABORATORY REAGENTS,91000,SLAS - Laboratory Reagents,MED-S-SLAS,20200,21100,68010
categ_141,Normal,60210,60210,MEDICAL STATIONERY,91000,SMST - Medical Stationery,MED-S-SMST,20200,21100,68010
categ_142,Normal,60210,60210,SMALL MEDICAL SUPPLIES,91000,SMSU - Small Medical Supplies,MED-S-SMSU,20200,21100,68010
categ_143,Normal,60210,60210,SUTURES,91000,SSUT - Sutures,MED-S-SSUT,20200,21100,68010
categ_144,Normal,60210,60210,STRYKER,,STRY - Stryker,MED-S-STRY,20200,21100,68010
categ_145,Normal,60210,60210,X-RAY SUPPLIES (STOPPED),91000,SXRS - X-ray supplies (stopped),MED-S-SXRS,20200,21100,68010
categ_146,Normal,61140,61140,BOATS,91100,TBOA - Boats,LOG-T-TBOA,20300,21200,68020
categ_147,Normal,61140,61140,HONDA,91100,THON - Honda,LOG-T-THON,20300,21200,68020
categ_148,Normal,61140,61140,MERCEDES,91100,TMER - Mercedes,LOG-T-TMER,20300,21200,68020
categ_149,Normal,61140,61140,PEUGEOT,91100,TPEU - Peugeot,LOG-T-TPEU,20300,21200,68020
categ_150,Normal,61140,61140,TOYOTA VEHICLES,91100,TTOY - Toyota Vehicles,LOG-T-TTOY,20300,21200,68020
categ_151,Normal,61210,61210,VEHICLES ACCESSORIES,91100,TVEA - Vehicles Accessories,LOG-T-TVEA,20300,21200,68020
categ_152,Normal,61200,61200,VEHICLES CONSUMABLES,91100,TVEC - Vehicles Consumables,LOG-T-TVEC,20300,21200,68020
categ_153,Normal,61210,61210,VEHICLES MODIFICATIONS,91100,TVEM - Vehicles Modifications,LOG-T-TVEM,20300,21200,68020
categ_154,Normal,61210,61210,SPARE PARTS HONDA - 2,91100,TXHO - Spare parts Honda,LOG-T-TXHO,20300,21200,68020
categ_155,Normal,61210,61210,SPARE PARTS LAND ROVER,91100,TXLA - Spare Parts Land Rover,LOG-T-TXLA,20300,21200,68020
categ_156,Normal,61210,61210,SPARE PARTS MERCEDES,91100,TXME - Spare parts Mercedes,LOG-T-TXME,20300,21200,68020
categ_157,Normal,61210,61210,SPARE PARTS PEUGEOT,91100,TXPE - Spare Parts Peugeot,LOG-T-TXPE,20300,21200,68020
categ_158,Normal,61210,61210,SPARE PARTS TOYOTA,91100,TXTO - Spare Parts Toyota,LOG-T-TXTO,20300,21200,68020
categ_159,Normal,61210,61210,SPARE PARTS YAMAHA,91100,TXYA - Spare Parts Yamaha,LOG-T-TXYA,20300,21200,68020
categ_160,Normal,64030,64030,CUSTOM FEES,,XCUS - Custom fees,SRV-X-XCUS,,,
categ_161,Normal,64000,64000,FREIGHT,,XFRE - Freight,SRV-X-XFRE,,,
categ_162,Normal,65400,65400,INSURANCE,,XINS - Insurance,SRV-X-XINS,,,
categ_163,Normal,65100,65100,MAINTENANCE,,XMAI - Maintenance,SRV-X-XMAI,,,
categ_164,Normal,65010,65010,RENTAL,,XREN - Rental,SRV-X-XREN,,,
categ_165,Normal,65100,65100,REPARATION,,XREP - Repairs,SRV-X-XREP,,,
categ_166,Normal,65720,65720,TAXE,,XTAX - Taxes,SRV-X-XTAX,,,
categ_167,Normal,64020,64020,TRANSPORT,,XTRA - Transport,SRV-X-XTRA,,,
