id,sequence,level,name,type,parent_id,msfid
nom_67,0,2,KSUO - Ophthalmic instruments boxes,Mandatory,K - Med Kits,MED-K-KSUO
nom_68,0,2,KSUR - Surgical Instruments Sets,Mandatory,K - Med Kits,MED-K-KSUR
nom_69,0,2,KTRA - Transport Kits,Mandatory,K - Log Kits,LOG-K-KTRA
nom_70,0,2,KWAT - Water And Sanitation Kits,Mandatory,K - Log Kits,LOG-K-KWAT
nom_71,0,2,L000 - MSF (articles written by MSF),Mandatory,L - Library,LIB-L-L000
nom_72,0,2,L001 - Medicine General Information,Mandatory,L - Library,LIB-L-L001
nom_73,0,2,L002 - Internal Medicine,Mandatory,L - Library,LIB-L-L002
nom_74,0,2,L003 - Viral Infectious Diseases,Mandatory,L - Library,LIB-L-L003
nom_75,0,2,L004 - Bacterial Infectious Diseases,Mandatory,L - Library,LIB-L-L004
nom_76,0,2,L005 - MYCOLOGICAL INFECTIOUS DISEASES,Mandatory,L - Library,LIB-L-L005
nom_77,0,2,L006 - Parasitic Infectious Diseases,Mandatory,L - Library,LIB-L-L006
nom_78,0,2,L007 - Std - Aids,Mandatory,L - Library,LIB-L-L007
nom_79,0,2,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,Mandatory,L - Library,LIB-L-L008
nom_80,0,2,L009 - Gynaecology - Obstetrics,Mandatory,L - Library,LIB-L-L009
nom_81,0,2,L010 - Paediatrics,Mandatory,L - Library,LIB-L-L010
nom_82,0,2,L011 - Ophthalmology - Dermatology,Mandatory,L - Library,LIB-L-L011
nom_83,0,2,L012 - Radiology - Medical Imaging,Mandatory,L - Library,LIB-L-L012
nom_84,0,2,L013 - Laboratory,Mandatory,L - Library,LIB-L-L013
nom_85,0,2,L014 - Pharmacology,Mandatory,L - Library,LIB-L-L014
nom_86,0,2,L015 - Immunization - Cold Chain,Mandatory,L - Library,LIB-L-L015
nom_87,0,2,L016 - Nutrition,Mandatory,L - Library,LIB-L-L016
nom_88,0,2,L017 - REPRODUCTIVE HEALTH,Mandatory,L - Library,LIB-L-L017
nom_89,0,2,L018 - Water & Sanitation,Mandatory,L - Library,LIB-L-L018
nom_90,0,2,L019 - Refugees - Displaced,Mandatory,L - Library,LIB-L-L019
nom_91,0,2,L020 - Emergencies - Disasters - Conflicts,Mandatory,L - Library,LIB-L-L020
nom_92,0,2,L021 - Training - Education,Mandatory,L - Library,LIB-L-L021
nom_93,0,2,L022 - Community Health,Mandatory,L - Library,LIB-L-L022
nom_94,0,2,L023 - Anthropology,Mandatory,L - Library,LIB-L-L023
nom_95,0,2,L024 - Epidemiology - Statistics,Mandatory,L - Library,LIB-L-L024
nom_96,0,2,L025 - Health Services Management,Mandatory,L - Library,LIB-L-L025
nom_97,0,2,L026 - Drugs Management,Mandatory,L - Library,LIB-L-L026
nom_98,0,2,L027 - Mental Health,Mandatory,L - Library,LIB-L-L027
nom_99,0,2,L028 - Health Of Expatriates,Mandatory,L - Library,LIB-L-L028
nom_100,0,2,L029 - Nursing - Infection Control,Mandatory,L - Library,LIB-L-L029
nom_101,0,2,L030 - INFECTION CONTROL,Mandatory,L - Library,LIB-L-L030
nom_102,0,2,L031 - SOCIAL ISSUES,Mandatory,L - Library,LIB-L-L031
nom_103,0,2,L040 - Logistics,Mandatory,L - Library,LIB-L-L040
nom_104,0,2,L041 - Mechanics /Transport,Mandatory,L - Library,LIB-L-L041
nom_105,0,2,L042 - Telecommunication,Mandatory,L - Library,LIB-L-L042
nom_106,0,2,L043 - Building - Shelters,Mandatory,L - Library,LIB-L-L043
nom_107,0,2,L044 - Data Processing,Mandatory,L - Library,LIB-L-L044
nom_108,0,2,L045 - Catalogues & Order Lists,Mandatory,L - Library,LIB-L-L045
nom_109,0,2,L046 - Food Aid,Mandatory,L - Library,LIB-L-L046
nom_110,0,2,L047 - Supply,Mandatory,L - Library,LIB-L-L047
nom_111,0,2,L048 - Energy,Mandatory,L - Library,LIB-L-L048
nom_112,0,2,L050 - Administration - Finances,Mandatory,L - Library,LIB-L-L050
nom_113,0,2,L051 - Human Resources Management,Mandatory,L - Library,LIB-L-L051
nom_114,0,2,L052 - Security,Mandatory,L - Library,LIB-L-L052
nom_115,0,2,L060 - MSF - GENERAL FACTS,Mandatory,L - Library,LIB-L-L060
nom_116,0,2,L061 - Msf - Publications,Mandatory,L - Library,LIB-L-L061
nom_117,0,2,L062 - MSF - INTERNAL DOCUMENTS,Mandatory,L - Library,LIB-L-L062
nom_118,0,2,L070 - Humanitarian Assistance,Mandatory,L - Library,LIB-L-L070
nom_119,0,2,L071 - CONTEXTS - GEOPOLITICS,Mandatory,L - Library,LIB-L-L071
nom_120,0,2,L072 - Humanitarian Assistance - Law,Mandatory,L - Library,LIB-L-L072
nom_121,0,2,L073 - Humanitarian Assistance - Interventions,Mandatory,L - Library,LIB-L-L073
nom_122,0,2,L074 - NTERNATIONAL ORGANISATIONS,Mandatory,L - Library,LIB-L-L074
nom_123,0,2,L075 - NGO's,Mandatory,L - Library,LIB-L-L075
nom_124,0,2,L076 - STATES: HUM. ASSISTANCE,Mandatory,L - Library,LIB-L-L076
nom_125,0,2,L077 - Languages,Mandatory,L - Library,LIB-L-L077
nom_126,0,2,LEAF - Leaflets,Mandatory,L - Library,LIB-L-LEAF
nom_127,0,2,NFOO - Food Commodities,Mandatory,N - Nutrition,MED-N-NFOO
nom_128,0,2,NFOS - Specialized Food,Mandatory,N - Nutrition,MED-N-NFOS
nom_129,0,2,NFST - Food commodities stationary,Mandatory,N - Nutrition,MED-N-NFST
nom_130,0,2,NSST - Specialized food stationary,Mandatory,N - Nutrition,MED-N-NSST
nom_131,0,2,PCOL - Cold Chain,Mandatory,P - Program support,LOG-P-PCOL
nom_132,0,2,PCOM - Communication,Mandatory,P - Program support,LOG-P-PCOM
nom_133,0,2,PCOO - Cooking,Mandatory,P - Program support,LOG-P-PCOO
nom_134,0,2,PELE - Electricity,Mandatory,P - Program support,LOG-P-PELE
nom_135,0,2,PHDW - Hardware,Mandatory,P - Program support,LOG-P-PHDW
nom_136,0,2,PHYG - Hygiene,Mandatory,P - Program support,LOG-P-PHYG
nom_137,0,2,PIDE - Identification,Mandatory,P - Program support,LOG-P-PIDE
nom_138,0,2,PLIG - Lighting,Mandatory,P - Program support,LOG-P-PLIG
nom_139,0,2,PPAC - Packing And Handling,Mandatory,P - Program support,LOG-P-PPAC
nom_140,0,2,PPAI - Paint,Mandatory,P - Program support,LOG-P-PPAI
nom_141,0,2,PSAF - Safety And Protective Equipment,Mandatory,P - Program support,LOG-P-PSAF
nom_142,0,2,PTOO - Tools,Mandatory,P - Program support,LOG-P-PTOO
nom_143,0,2,PX-- - Spare parts,Mandatory,P - Program support,LOG-P-PX--
nom_144,0,2,PXDV - Spare Parts Davey,Mandatory,P - Program support,LOG-P-PXDV
nom_145,0,2,PXHO - Spare Parts Honda,Mandatory,P - Program support,LOG-P-PXHO
nom_146,0,2,PXKO - Spare Parts Koshin,Mandatory,P - Program support,LOG-P-PXKO
nom_147,0,2,PXLI - Spare Parts Lister,Mandatory,P - Program support,LOG-P-PXLI
nom_148,0,2,PXLO - Spare Parts Lombardini,Mandatory,P - Program support,LOG-P-PXLO
nom_149,0,2,PXRO - Spare Parts Robin,Mandatory,P - Program support,LOG-P-PXRO
nom_150,0,2,PXYN - Spare Parts Yanmar,Mandatory,P - Program support,LOG-P-PXYN
nom_151,0,2,"SCTD - Catheters, Tubes And Drains",Mandatory,S - Medical renewable supplies,MED-S-SCTD
nom_152,0,2,SDIM - Diagnostic imaging supplies,Mandatory,S - Medical renewable supplies,MED-S-SDIM
nom_153,0,2,SDRE - Dressings,Mandatory,S - Medical renewable supplies,MED-S-SDRE
nom_154,0,2,SIGN - NAIL OF SIGN material,Mandatory,S - Medical renewable supplies,MED-S-SIGN
nom_155,0,2,SINS - Injection Supplies,Mandatory,S - Medical renewable supplies,MED-S-SINS
nom_156,0,2,SLAS - Laboratory Reagents,Mandatory,S - Medical renewable supplies,MED-S-SLAS
nom_157,0,2,SMST - Medical Stationery,Mandatory,S - Medical renewable supplies,MED-S-SMST
nom_158,0,2,SMSU - Small Medical Supplies,Mandatory,S - Medical renewable supplies,MED-S-SMSU
nom_159,0,2,SSUT - Sutures,Mandatory,S - Medical renewable supplies,MED-S-SSUT
nom_160,0,2,STRY - Stryker,Mandatory,S - Medical renewable supplies,MED-S-STRY
nom_161,0,2,SXRS - X-ray supplies (stopped),Mandatory,S - Medical renewable supplies,MED-S-SXRS
nom_162,0,2,TBOA - Boats,Mandatory,T - Transport,LOG-T-TBOA
nom_163,0,2,THON - Honda,Mandatory,T - Transport,LOG-T-THON
nom_164,0,2,TMER - Mercedes,Mandatory,T - Transport,LOG-T-TMER
nom_165,0,2,TPEU - Peugeot,Mandatory,T - Transport,LOG-T-TPEU
nom_166,0,2,TTOY - Toyota Vehicles,Mandatory,T - Transport,LOG-T-TTOY
nom_167,0,2,TVEA - Vehicles Accessories,Mandatory,T - Transport,LOG-T-TVEA
nom_168,0,2,TVEC - Vehicles Consumables,Mandatory,T - Transport,LOG-T-TVEC
nom_169,0,2,TVEM - Vehicles Modifications,Mandatory,T - Transport,LOG-T-TVEM
nom_170,0,2,TXHO - Spare parts Honda,Mandatory,T - Transport,LOG-T-TXHO
nom_171,0,2,TXLA - Spare Parts Land Rover,Mandatory,T - Transport,LOG-T-TXLA
nom_172,0,2,TXME - Spare parts Mercedes,Mandatory,T - Transport,LOG-T-TXME
nom_173,0,2,TXPE - Spare Parts Peugeot,Mandatory,T - Transport,LOG-T-TXPE
nom_174,0,2,TXTO - Spare Parts Toyota,Mandatory,T - Transport,LOG-T-TXTO
nom_175,0,2,TXYA - Spare Parts Yamaha,Mandatory,T - Transport,LOG-T-TXYA
nom_176,0,2,XCUS - Custom fees,Mandatory,X - Services,SRV-X-XCUS
nom_177,0,2,XFRE - Freight,Mandatory,X - Services,SRV-X-XFRE
nom_178,0,2,XINS - Insurance,Mandatory,X - Services,SRV-X-XINS
nom_179,0,2,XMAI - Maintenance,Mandatory,X - Services,SRV-X-XMAI
nom_180,0,2,XREN - Rental,Mandatory,X - Services,SRV-X-XREN
nom_181,0,2,XREP - Repairs,Mandatory,X - Services,SRV-X-XREP
nom_182,0,2,XTAX - Taxes,Mandatory,X - Services,SRV-X-XTAX
nom_183,0,2,XTRA - Transport,Mandatory,X - Services,SRV-X-XTRA
nom_184,0,3,046+ - DRILL BITS,Mandatory,SIGN - NAIL OF SIGN material,MED-S-SIGN-046+
nom_185,0,3,0600 - SET & INSTRUMENTS,Mandatory,SIGN - NAIL OF SIGN material,MED-S-SIGN-0600
nom_186,0,3,063+ - SLOT FINDERS,Mandatory,SIGN - NAIL OF SIGN material,MED-S-SIGN-063+
nom_187,0,3,064+ - GUIDES,Mandatory,SIGN - NAIL OF SIGN material,MED-S-SIGN-064+
nom_188,0,3,1NTR - Introduction on boats,Mandatory,TBOA - Boats,LOG-T-TBOA-1NTR
nom_189,0,3,1NTR - Premliminary notes immunoglob./vaccines,Mandatory,DVAC - Vaccines,MED-D-DVAC-1NTR
nom_190,0,3,A--- - Watsan assemblies,Mandatory,CWAT - Water And Sanitation,LOG-C-CWAT-A---
nom_191,0,3,AAAA - Custom fees,Mandatory,XCUS - Custom fees,SRV-X-XCUS-AAAA
nom_192,0,3,AAAA - Freight fees,Mandatory,XFRE - Freight,SRV-X-XFRE-AAAA
nom_193,0,3,AAAA - Generic Repairs,Mandatory,XREP - Repairs,SRV-X-XREP-AAAA
nom_194,0,3,AAAA - Insurance fees,Mandatory,XINS - Insurance,SRV-X-XINS-AAAA
nom_195,0,3,AAAA - Maintenance fees,Mandatory,XMAI - Maintenance,SRV-X-XMAI-AAAA
nom_196,0,3,AAAA - Taxes,Mandatory,XTAX - Taxes,SRV-X-XTAX-AAAA
nom_197,0,3,AAAA - Transport cost,Mandatory,XTRA - Transport,SRV-X-XTRA-AAAA
nom_198,0,3,ABCV - Abacavir,Mandatory,DORA - Oral Drugs,MED-D-DORA-ABCV
nom_199,0,3,ABLA - Abacavir / Lamivudine,Mandatory,DORA - Oral Drugs,MED-D-DORA-ABLA
nom_200,0,3,ABSS - Shock absorber for LAND ROVER,Mandatory,TXLA - Spare Parts Land Rover,LOG-T-TXLA-ABSS
nom_201,0,3,ABSS - Shock absorber for TOYOTA,Mandatory,TXTO - Spare Parts Toyota,LOG-T-TXTO-ABSS
nom_202,0,3,ACD4 - Analyser CD4,Mandatory,DDGT - Diagnostic tests,MED-D-DDGT-ACD4
nom_203,0,3,ACD4 - Analyser CD4,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ACD4
nom_204,0,3,ACD4 - CD4 PIMA,Mandatory,ELAE - Laboratory Equipment,MED-E-ELAE-ACD4
nom_205,0,3,ACD4 - Checklist laboratory CD4 analyser,Mandatory,ILAB - Laboratory checklists,MED-I-ILAB-ACD4
nom_206,0,3,ACEA - Acetic Acid,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ACEA
nom_207,0,3,ACEO - Acetone,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ACEO
nom_208,0,3,ACET - Acetazolamide,Mandatory,DORA - Oral Drugs,MED-D-DORA-ACET
nom_209,0,3,ACIV - Aciclovir,Mandatory,DEXO - Ophtalmic Drugs For External Use,MED-D-DEXO-ACIV
nom_210,0,3,ACIV - Aciclovir,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-ACIV
nom_211,0,3,ACIV - Aciclovir,Mandatory,DORA - Oral Drugs,MED-D-DORA-ACIV
nom_212,0,3,ACPL - AC plug,Mandatory,PX-- - Spare parts,LOG-P-PX---ACPL
nom_213,0,3,ACRI - Acridine orange,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ACRI
nom_214,0,3,ACSA - Acetyl Salicylic Acid,Mandatory,DORA - Oral Drugs,MED-D-DORA-ACSA
nom_215,0,3,ACTC - Action card,Mandatory,ALST - Logistic Stationery,LOG-A-ALST-ACTC
nom_216,0,3,ADAC - Coaxial adaptor,Mandatory,PCOM - Communication,LOG-P-PCOM-ADAC
nom_217,0,3,ADAS - Adenosime Deaminase Assay,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ADAS
nom_218,0,3,ADAS - Adenosine Deaminase Assay,Mandatory,DDGT - Diagnostic tests,MED-D-DDGT-ADAS
nom_219,0,3,ADDI - Additive,Mandatory,TVEC - Vehicles Consumables,LOG-T-TVEC-ADDI
nom_220,0,3,"AIDB - AIDS, Book",Mandatory,L007 - Std - Aids,LIB-L-L007-AIDB
nom_221,0,3,"AIDB - AIDS, Book",Mandatory,L029 - Nursing - Infection Control,LIB-L-L029-AIDB
nom_222,0,3,AIDB - AIDS/HIV Book,Mandatory,L016 - Nutrition,LIB-L-L016-AIDB
nom_223,0,3,"AIDG - AIDS, Guide",Mandatory,L007 - Std - Aids,LIB-L-L007-AIDG
nom_224,0,3,"AIDG - AIDS, Guide",Mandatory,L028 - Health Of Expatriates,LIB-L-L028-AIDG
nom_225,0,3,AIDG - AIDS/HIV Guide,Mandatory,L016 - Nutrition,LIB-L-L016-AIDG
nom_226,0,3,AIRG - Airways Guedel,Mandatory,EANE - Anaesthesia,MED-E-EANE-AIRG
nom_227,0,3,ALBE - Albendazole,Mandatory,DORA - Oral Drugs,MED-D-DORA-ALBE
nom_228,0,3,ALBF - Artemeter / Lumefantrine,Mandatory,DORA - Oral Drugs,MED-D-DORA-ALBF
nom_229,0,3,ALCO - Alcohol-based hand rub,Mandatory,DEXT - Drugs External Use,MED-D-DEXT-ALCO
nom_230,0,3,ALEK - Alen key,Mandatory,PTOO - Tools,LOG-P-PTOO-ALEK
nom_231,0,3,ALUM - Aluminium boat,Mandatory,TBOA - Boats,LOG-T-TBOA-ALUM
nom_232,0,3,ALUM - Aluminium Hydr. / Magnesium Trisil.,Mandatory,DORA - Oral Drugs,MED-D-DORA-ALUM
nom_233,0,3,AMDR - Dropping ampoule,Mandatory,ELAE - Laboratory Equipment,MED-E-ELAE-AMDR
nom_234,0,3,AMIK - Amikacin,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-AMIK
nom_235,0,3,AMIT - Amitriptyline,Mandatory,DORA - Oral Drugs,MED-D-DORA-AMIT
nom_236,0,3,AMNH - Amniohook,Mandatory,ESUR - Surgical Instruments,MED-E-ESUR-AMNH
nom_237,0,3,AMNH - Amniohook,Mandatory,SMSU - Small Medical Supplies,MED-S-SMSU-AMNH
nom_238,0,3,AMOC - Amoxycillin + Clavunanic acid,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-AMOC
nom_239,0,3,AMOC - Amoxycillin + Clavunanic acid,Mandatory,DORA - Oral Drugs,MED-D-DORA-AMOC
nom_240,0,3,AMOO - Ammonium Oxalate,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-AMOO
nom_241,0,3,AMOX - Amoxycilline,Mandatory,DORA - Oral Drugs,MED-D-DORA-AMOX
nom_242,0,3,AMPH - Amphotericin B,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-AMPH
nom_243,0,3,AMPH - Amphotericin B,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-AMPH
nom_244,0,3,AMPI - Ampicilline,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-AMPI
nom_245,0,3,"ANAB - Anaesthesia, Book",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,LIB-L-L008-ANAB
nom_246,0,3,ANAE - anaesthesia machine,Mandatory,EANE - Anaesthesia,MED-E-EANE-ANAE
nom_247,0,3,"ANAG - Anaesthesia, Guide",Mandatory,L008 - Surgery-Anaesthesia-Dentistry-Physiotherapy-Transf,LIB-L-L008-ANAG
nom_248,0,3,ANAL - ANALYSER,Mandatory,ELAE - Laboratory Equipment,MED-E-ELAE-ANAL
nom_249,0,3,ANAL - Clinical chemistry analyzer,Mandatory,DDGT - Diagnostic tests,MED-D-DDGT-ANAL
nom_250,0,3,ANCH - Anchor,Mandatory,TBOA - Boats,LOG-T-TBOA-ANCH
nom_251,0,3,ANHF - HF antenna,Mandatory,PCOM - Communication,LOG-P-PCOM-ANHF
nom_252,0,3,ANOD - Anode for YAMAHA,Mandatory,TXYA - Spare Parts Yamaha,LOG-T-TXYA-ANOD
nom_253,0,3,ANTA - Antenna accessories,Mandatory,PCOM - Communication,LOG-P-PCOM-ANTA
nom_254,0,3,"ANTB - Anthropology, Book",Mandatory,L023 - Anthropology,LIB-L-L023-ANTB
nom_255,0,3,ANTE - Antenna,Mandatory,PCOM - Communication,LOG-P-PCOM-ANTE
nom_256,0,3,ANTH - Anti Haemorroid,Mandatory,DEXT - Drugs External Use,MED-D-DEXT-ANTH
nom_257,0,3,ANUH - UHF antenna,Mandatory,PCOM - Communication,LOG-P-PCOM-ANUH
nom_258,0,3,ANVH - VHF antenna,Mandatory,PCOM - Communication,LOG-P-PCOM-ANVH
nom_259,0,3,APAN - Antibiotic mixture PANTA,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-APAN
nom_260,0,3,APBF - Atovaquone / Proguanil,Mandatory,DORA - Oral Drugs,MED-D-DORA-APBF
nom_261,0,3,"APRF - X-ray protection apron, frontal",Mandatory,EDIM - Diagnostic Imaging equipment,MED-E-EDIM-APRF
nom_262,0,3,"APRO - Apron, complete",Mandatory,EDIM - Diagnostic Imaging equipment,MED-E-EDIM-APRO
nom_263,0,3,APRO - Protective apron,Mandatory,PSAF - Safety And Protective Equipment,LOG-P-PSAF-APRO
nom_264,0,3,APRP - Apron,Mandatory,ELIN - Linen And Protective Clothing,MED-E-ELIN-APRP
nom_265,0,3,"APRS - Apron, Surgical",Mandatory,ELIN - Linen And Protective Clothing,MED-E-ELIN-APRS
nom_266,0,3,ARAC - Artesunate / amodiaquine (fdc),Mandatory,DORA - Oral Drugs,MED-D-DORA-ARAC
nom_267,0,3,"ARIB - Acute Respiratory Infections, Book",Mandatory,L010 - Paediatrics,LIB-L-L010-ARIB
nom_268,0,3,ARMB - Armband,Mandatory,PIDE - Identification,LOG-P-PIDE-ARMB
nom_269,0,3,ARTE - Artemeter,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-ARTE
nom_270,0,3,ARTS - Artesunate,Mandatory,DEXT - Drugs External Use,MED-D-DEXT-ARTS
nom_271,0,3,ARTS - Artesunate,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-ARTS
nom_272,0,3,ASCA - Ascorbic Acid,Mandatory,DORA - Oral Drugs,MED-D-DORA-ASCA
nom_273,0,3,ASPB - Artesunate + sulfadoxine/pyrimethamine,Mandatory,DORA - Oral Drugs,MED-D-DORA-ASPB
nom_274,0,3,"ASSB - Assessment, Book",Mandatory,L020 - Emergencies - Disasters - Conflicts,LIB-L-L020-ASSB
nom_275,0,3,"ASSB - Assessment, Book",Mandatory,L025 - Health Services Management,LIB-L-L025-ASSB
nom_276,0,3,"ASSG - Assessment, guide",Mandatory,L020 - Emergencies - Disasters - Conflicts,LIB-L-L020-ASSG
nom_277,0,3,"ASSG - Assessment, Guide",Mandatory,L025 - Health Services Management,LIB-L-L025-ASSG
nom_278,0,3,ASTS - Antibiotic AST SIRE Kit,Mandatory,SLAS - Laboratory Reagents,MED-S-SLAS-ASTS
nom_279,0,3,ATAZ - Atazanavir,Mandatory,DORA - Oral Drugs,MED-D-DORA-ATAZ
nom_280,0,3,ATEN - Atenolol,Mandatory,DORA - Oral Drugs,MED-D-DORA-ATEN
nom_281,0,3,ATET - Antitoxin Tetanus,Mandatory,DVAC - Vaccines,MED-D-DVAC-ATET
nom_282,0,3,ATRB - Atracurium besilate,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-ATRB
nom_283,0,3,ATRO - Atropine,Mandatory,DEXO - Ophtalmic Drugs For External Use,MED-D-DEXO-ATRO
nom_284,0,3,ATRO - Atropine,Mandatory,DINJ - Injectable Drugs,MED-D-DINJ-ATRO
