Identifier,MSF Entity,Attribute,OC Rules,Default Value
222,OCP,perishable,[OCP] S - Renewable medical supplies | BID - Bacterial identification system,Yes
223,OCP,perishable,[OCP] S - Renewable medical supplies | BQC - Bacterial strains Quality Control,Yes
224,OCP,perishable,"[OCP] S - Renewable medical supplies | CTD - Catheters, tubes and drains",Yes
225,OCP,perishable,[OCP] S - Renewable medical supplies | DIM - Diagnostic imaging supplies,Yes
226,OCP,perishable,[OCP] S - Renewable medical supplies | DIS - Disinfectants,Yes
227,OCP,perishable,[OCP] S - Renewable medical supplies | DRE - Dressings,Yes
228,OCP,perishable,[OCP] S - Renewable medical supplies | INS - Injection supplies,Yes
229,OCP,perishable,[OCP] S - Renewable medical supplies | LAS - Laboratory reagents,Yes
230,OCP,perishable,[OCP] S - Renewable medical supplies | MSU - Small medical supplies,Yes
231,OCP,perishable,[OCP] S - Renewable medical supplies | PPE - Personal protective equipment for medical activities,Yes
232,OCP,perishable,[OCP] S - Renewable medical supplies | SCO - Surgical consumables,Yes
233,OCP,perishable,[OCP] S - Renewable medical supplies | SDT - Stand-alone diagnostic tests,Yes
234,OCP,perishable,[OCP] S - Renewable medical supplies | SUR - Surgical instruments for single use,Yes
235,OCP,perishable,[OCP] S - Renewable medical supplies | SUT - Sutures,Yes
236,OCP,perishable,"[OCP] S - Renewable medical supplies | TSS - Transport, storage and sampling systems of biological specim",Yes
237,OCP,batch_management,[OCP] D - Drugs | ,Yes
238,OCP,batch_management,[OCP] E - Medical equipment | ANE - Anaesthesia equipment,Yes
239,OCP,batch_management,[OCP] E - Medical equipment | DIM - Diagnostic Imaging equipment,Yes
240,OCP,batch_management,[OCP] E - Medical equipment | LAB - Laboratory equipment,Yes
241,OCP,batch_management,[OCP] E - Medical equipment | LAE - Electrical laboratory equipment,Yes
242,OCP,batch_management,[OCP] E - Medical equipment | SUR - Surgical instruments,Yes
243,OCP,batch_management,[OCP] K - Kits | MED - Medical kits,Yes
244,OCP,batch_management,[OCP] N - Nutrition | FOO - Food commodities,Yes
245,OCP,batch_management,[OCP] N - Nutrition | FOS - Specialized food,Yes
246,OCP,batch_management,[OCP] S - Renewable medical supplies | AST - Antibiotic Susceptibility Testing Items,Yes
247,OCP,batch_management,[OCP] S - Renewable medical supplies | BCM - Bacteriological culture media,Yes
248,OCP,batch_management,[OCP] S - Renewable medical supplies | BID - Bacterial identification system,Yes
249,OCP,batch_management,[OCP] S - Renewable medical supplies | BQC - Bacterial strains Quality Control,Yes
250,OCP,batch_management,"[OCP] S - Renewable medical supplies | CTD - Catheters, tubes and drains",Yes
251,OCP,batch_management,[OCP] S - Renewable medical supplies | DIM - Diagnostic imaging supplies,Yes
252,OCP,batch_management,[OCP] S - Renewable medical supplies | DIS - Disinfectants,Yes
253,OCP,batch_management,[OCP] S - Renewable medical supplies | DRE - Dressings,Yes
254,OCP,batch_management,[OCP] S - Renewable medical supplies | INS - Injection supplies,Yes
255,OCP,batch_management,[OCP] S - Renewable medical supplies | LAS - Laboratory reagents,Yes
256,OCP,batch_management,[OCP] S - Renewable medical supplies | MSU - Small medical supplies,Yes
257,OCP,batch_management,[OCP] S - Renewable medical supplies | PPE - Personal protective equipment for medical activities,Yes
258,OCP,batch_management,[OCP] S - Renewable medical supplies | SCO - Surgical consumables,Yes
259,OCP,batch_management,[OCP] S - Renewable medical supplies | SDT - Stand-alone diagnostic tests,Yes
260,OCP,batch_management,[OCP] S - Renewable medical supplies | SUR - Surgical instruments for single use,Yes
261,OCP,batch_management,[OCP] S - Renewable medical supplies | SUT - Sutures,Yes
262,OCP,batch_management,"[OCP] S - Renewable medical supplies | TSS - Transport, storage and sampling systems of biological specim",Yes
